city,total,main_regular,main_irregular,other_regular,other_irregular
angra dos reis,75959.93177949,55766.19873796,20193.73304153,55843.47924648,20116.45253302
aperibe,4748.27985806,2172.12807363,2576.15178443,2181.48495492,2566.79490314
araruama,45795.09380615,25902.42409507,19892.66971108,25978.24875443,19816.84505173
areal,5070.85050432,3126.77153737,1944.07896695,3131.12923563,1939.72126869
armacao dos buzios,13596.19577122,7815.14310115,5781.05267007,7815.14310115,5781.05267007
arraial do cabo,12573.4253523,7213.94974198,5359.47561032,7247.54784997,5325.87750234
barra do pirai,40623.44760267,28642.17885008,11981.26875259,28706.3429837,11917.10461899
barra mansa,78887.428407,57572.79513002,21314.63327698,57610.4679038,21276.96050319
belford roxo,191862.22967154,122797.61593082,69064.61374072,122978.16142552,68884.06824604
bom jardim,12694.15424945,7939.32802376,4754.82622569,7939.32802376,4754.82622569
bom jesus do itabapoana,15081.44291963,9366.8400155,5714.60290413,9403.87568009,5677.56723952
cabo frio,84792.04855307,50553.58455793,34238.46399514,50653.95387414,34138.09467893
cachoeiras de macacu,24180.69500911,13901.76960011,10278.925409,13921.33623663,10259.35877247
cambuci,6351.0083303,3027.75949331,3323.24883699,3027.75949331,3323.24883699
campos dos goytacazes,186956.80927182,124307.34437717,62649.46489465,124418.95030812,62537.85896367
cantagalo,9895.54834892,6565.56742387,3329.98092505,6621.61496118,3273.93338775
carapebus,6081.14780919,3884.02778047,2197.12002872,3884.02778047,2197.12002872
cardoso moreira,4796.31542834,2648.2514165,2148.06401184,2652.3025458,2144.01288254
carmo,7438.18383779,4878.87609406,2559.30774373,4878.87609406,2559.30774373
casimiro de abreu,17236.06959684,10807.77066805,6428.29892879,10807.77066805,6428.29892879
comendador levy gasparian,3620.99850019,2724.73822529,896.2602749,2727.01357534,893.98492486
conceicao de macabu,9709.26450081,6342.64762107,3366.61687974,6374.34625917,3334.91824164
cordeiro,9707.40698685,7076.48185156,2630.92513529,7103.3484265,2604.05856035
duas barras,5751.24447658,2927.61439507,2823.63008151,2937.56549574,2813.67898083
duque de caxias,358493.71425951,238374.45297397,120119.26128554,238635.26004946,119858.45421006
engenheiro paulo de frontin,5363.23798743,3606.76222658,1756.47576085,3611.81340433,1751.4245831
guapimirim,22014.05232106,12583.87727062,9430.17505044,12593.33759614,9420.71472492
iguaba grande,8722.78827159,4882.81616555,3839.97210604,4882.81616555,3839.97210604
itaborai,95352.52416337,59684.02195714,35668.50220623,59775.06064482,35577.46351852
itaguai,45738.13156518,30251.07486162,15487.05670356,30262.57455349,15475.55701169
italva,6140.59517086,3630.1904718,2510.40469906,3630.1904718,2510.40469906
itaocara,10671.54221797,5440.91467926,5230.62753871,5460.3689393,5211.17327867
itaperuna,43949.28592674,28559.36435845,15389.92156829,28626.62258497,15322.66334178
itatiaia,13606.94107,9823.04068314,3783.90038686,9841.02898039,3765.91208962
japeri,34547.87627572,20435.16778659,14112.70848913,20451.87626448,14096.00001125
laje do muriae,3126.10474087,1702.04174726,1424.06299361,1714.70394675,1411.40079412
macae,102811.30333661,76985.73496627,25825.56837034,77021.57483911,25789.72849748
macuco,2109.0299939,1643.07305791,465.95693599,1646.15808214,462.87191176
mage,91206.08565284,54622.13776585,36583.94788699,54701.43613557,36504.64951728
mangaratiba,16561.65204584,10077.0523838,6484.59966204,10101.46433133,6460.18771451
marica,56686.93110198,34062.18423769,22624.74686429,34151.92329514,22535.00780684
mendes,7920.87706013,5474.10238812,2446.77467201,5480.09300497,2440.78405516
mesquita,71359.64611348,46634.08351732,24725.56259616,46661.90142341,24697.74469006
miguel pereira,10962.48585398,6231.49810195,4730.98775203,6231.49810195,4730.98775203
miracema,11886.81509931,6869.56214648,5017.25295283,6902.40443733,4984.41066198
natividade,6495.99795616,3946.13309383,2549.86486233,3951.10523535,2544.89272081
nilopolis,66046.97901369,45907.87278773,20139.10622596,45951.10338585,20095.87562786
niteroi,235376.11618808,176387.67915286,58988.43703522,176764.45401882,58611.66216926
nova friburgo,95634.66210566,65850.59088996,29784.0712157,66034.0431092,29600.61899646
nova iguacu,325224.80297793,206255.88210159,118968.92087634,206506.23794638,118718.56503152
paracambi,17636.49107411,11578.64105195,6057.85002216,11578.64105195,6057.85002216
paraiba do sul,17212.25681154,11455.08612193,5757.17068961,11455.08612193,5757.17068961
paraty,18577.7497265,9557.60603485,9020.14369165,9576.21954663,9001.53017986
paty do alferes,12709.83757932,5695.88956879,7013.94801053,5703.7606803,7006.07689902
petropolis,140992.04694213,96894.01835165,44098.02859048,97056.97746091,43935.06948122
pinheiral,8421.01540202,5726.09665675,2694.91874527,5726.09665675,2694.91874527
pirai,10770.6822241,8193.2725578,2577.4096663,8213.41569867,2557.26652543
porciuncula,7361.27744763,4163.88489862,3197.39254901,4163.88489862,3197.39254901
porto real,7883.43500903,5943.00832654,1940.42668249,5947.72402694,1935.71098209
quatis,5731.02290152,4103.45856367,1627.56433785,4103.45856367,1627.56433785
queimados,54400.31590365,35516.97467379,18883.34122986,35533.60215755,18866.71374609
quissama,8621.47144273,5766.78174059,2854.68970214,5771.8153652,2849.65607754
resende,57261.88148704,43762.74425947,13499.13722757,43822.03396571,13439.84752132
rio bonito,24236.63558797,15799.27437908,8437.36120889,15824.01927849,8412.61630948
rio claro,7811.48796026,5031.74499265,2779.74296761,5031.74499265,2779.74296761
rio das flores,3852.5060777,2452.34611765,1400.15996005,2457.00027391,1395.5058038
rio das ostras,50492.80158887,32193.5696724,18299.23191647,32254.04703994,18238.75454893
rio de janeiro,2922822.05076908,2141668.34095095,781153.70981813,2145206.90409895,777615.14667015
santa maria madalena,4524.79052432,2736.60536057,1788.18516375,2743.34963712,1781.4408872
santo antonio de padua,19035.12247588,10232.38975999,8802.73271589,10273.45934891,8761.66312696
sao fidelis,15746.79890267,8884.17158482,6862.62731785,8895.03395586,6851.76494681
sao francisco de itabapoana,15827.87946253,5718.1040469,10109.77541563,5730.73617874,10097.14328379
sao goncalo,447445.67486382,314435.37726189,133010.29760193,314710.77029162,132734.90457219
sao joao da barra,14423.99958004,7911.9494245,6512.05015554,7927.93663119,6496.06294885
sao joao de meriti,198798.39571439,134067.61853835,64730.77717604,134192.86860346,64605.52711094
sao jose de uba,3163.3017111,1148.30449835,2014.99721275,1157.97761027,2005.32410082
sao jose do vale do rio preto,10236.64580666,4750.949075,5485.69673166,4750.949075,5485.69673166
sao pedro da aldeia,37672.16841616,23314.34578197,14357.82263419,23374.65140012,14297.51701604
sao sebastiao do alto,3822.8973595,1690.25031792,2132.64704158,1690.25031792,2132.64704158
sapucaia,7426.62083733,4772.04244268,2654.57839465,4772.04244268,2654.57839465
saquarema,30899.01220632,15285.98429084,15613.02791548,15321.13230493,15577.87990138
seropedica,33031.92360305,19464.36910497,13567.55449808,19495.579344,13536.34425903
silva jardim,8731.80523588,4954.57280023,3777.23243565,4954.57280023,3777.23243565
sumidouro,8848.66031465,2178.24194782,6670.41836683,2178.24194782,6670.41836683
tangua,12438.28803511,7310.99771525,5127.29031986,7324.011665,5114.27637011
teresopolis,76452.33623806,47033.17777094,29419.15846712,47096.20166034,29356.13457773
trajano de moraes,4562.65454239,2020.37564961,2542.27889278,2052.04750878,2510.60703362
tres rios,32805.43474799,24854.49304654,7950.94170145,24868.05004302,7937.38470496
valenca,32044.75548809,20867.99281564,11176.76267245,20912.11828153,11132.63720654
varre-sai,4427.47971003,1968.35869184,2459.12101819,1972.62478494,2454.85492509
vassouras,15471.27530679,10270.01153078,5201.26377601,10292.93589659,5178.33941018
volta redonda,115566.91956388,86640.0796755,28926.83988838,86691.4098699,28875.50969397
