city,total,regular,military_and_gov,irregular,entrepreneur,employers
angra dos reis,1362.34,1314.03,2626.66,801.57,1385.72,5073.5
aperibe,813.15,792.6,1496.92,583.78,806.97,2338.23
araruama,986.13,913.07,1837.74,604.43,1002.25,3064.1
areal,879.08,819.04,1304.64,682.4,913.57,2377.86
armacao dos buzios,1256.55,1019,1814.6,847.19,1809.88,3167.8
arraial do cabo,1069.56,1059.95,1607.88,693.51,1124.78,2406.21
barra do pirai,1018.07,992.13,1606.29,560.28,1063.36,4841.65
barra mansa,1123.29,1102.51,1874.73,627.86,1270.4,3361.56
belford roxo,862.51,903.27,1457.17,629.62,854.55,2795.9
bom jardim,877.47,805.8,1549.62,651.83,1000.62,1591.6
bom jesus do itabapoana,1032.73,966.32,2350.92,534.06,1156.18,2737.58
cabo frio,1178.41,1052.61,1893.79,709.59,1210.63,4538.89
cachoeiras de macacu,920.67,934.25,1719.72,593.49,894.91,3781.98
cambuci,762.12,845.43,1210.76,459.79,788.26,1852.71
campos dos goytacazes,1183.53,1190.85,2410.56,600,1128.37,4513.16
cantagalo,848.83,886.7,1410.17,516.34,795.18,1881.85
carapebus,1051.04,1230,1179.65,686.27,908.64,1804.45
cardoso moreira,840.87,899.52,1277.39,538.74,795.94,4297.32
carmo,844.62,754.99,1374.09,510,1238.37,1100.31
casimiro de abreu,1127.84,1038.41,1703.37,740.38,1229.86,3464.96
comendador levy gasparian,885.52,915.01,868.23,533.33,1059.62,2662.44
conceicao de macabu,967.06,1049.54,1238.48,597.48,1145.63,2424.92
cordeiro,1124.39,957.68,1388.67,646.06,1672.68,2544.02
duas barras,717.69,728.44,991.2,493.49,920.76,1096.3
duque de caxias,1013.63,1027.03,2001.7,664.55,989.42,3731.99
engenheiro paulo de frontin,834.45,816.37,1619.47,635.63,838.58,3435.08
guapimirim,1012.3,931.85,1517.46,630.69,1053.83,13239.82
iguaba grande,1064.85,1079.12,1950.1,632.15,1088.49,2118.89
itaborai,951.05,953.18,1858.99,629.48,977.08,2909.03
itaguai,1105.25,1177.74,1436.6,702.28,1072.6,4352.41
italva,989.22,1044.72,1181.01,528.61,1214.98,4678.57
itaocara,869.57,832.34,1587.63,536.11,856.47,3633.18
itaperuna,1040.54,1030.6,2310.9,614.11,1114.43,3039.83
itatiaia,1204.29,1053.27,1582,604.92,1101.29,11734.26
japeri,793.73,823.69,1295.66,624.16,759.93,3009.62
laje do muriae,731.42,747.8,1096.67,461.71,705.76,2851.17
macae,1769.18,1856.67,2312.34,934.15,1721.84,5557.5
macuco,996.8,879.08,1213.76,553.6,1198.89,3900.24
mage,946.83,968.26,1546.69,614.11,946.5,3594.24
mangaratiba,1197.56,1237.67,1606.49,752.27,1158.98,4497.19
marica,1371.6,1390.28,2621.67,803.51,1336.82,3148.58
mendes,933.68,928.22,1424.58,556.99,938.05,3335.57
mesquita,1040.72,1042.75,2039.09,670.68,976.55,3150.45
miguel pereira,994.5,1032.88,1566.95,578.28,1102.36,2085.92
miracema,876.63,895.68,1688.97,497.25,895.81,2332.78
natividade,918.92,970.32,2095.74,550.42,966.28,2155.66
nilopolis,1174.02,1117.91,2097.01,713.95,1181.7,3947.91
niteroi,2575.74,2275.22,4539.33,1157.06,2495.06,6280.79
nova friburgo,1138.95,962.49,2487.3,731.76,1217.47,3684.22
nova iguacu,997.32,990.52,2045.76,659.68,1009.54,3138.26
paracambi,1003.71,1085.03,1695.89,610.92,1048.88,3078.31
paraiba do sul,972.59,949.93,2085.32,578.11,1059.88,4338.68
paraty,1186.27,1266.44,1850.48,660.1,1129.14,3397.45
paty do alferes,803.02,808.65,1540.76,471.18,954.55,3047.77
petropolis,1298.17,1148.49,2843.19,734.61,1443.25,4288.06
pinheiral,1102.07,1011.45,1564.74,749.28,1177.84,5280.84
pirai,1106.28,1097.24,1461.92,630.06,1153.58,4382.05
porciuncula,988.78,1056.67,1712.87,536.91,862.82,4752.15
porto real,962.17,984.62,1681.09,633.64,990.29,2805.56
quatis,904.92,909.72,1107.05,559.17,1099.52,2392.29
queimados,880.17,907.69,1665.68,622.06,872.85,2204.73
quissama,1083.53,1038.12,1476.79,595.99,1610.53,3870.64
resende,1386.19,1336.55,3063.19,682.86,1351.17,4714.5
rio bonito,1018.96,983.66,1500.38,620.67,1087.69,4036.75
rio claro,1209.71,1145.64,1482.5,521.63,881.82,17178.21
rio das flores,746.96,765.88,2131.64,535.35,981.74,1650.65
rio das ostras,1669.39,1956.48,2170.08,797.65,1378.92,4131.29
rio de janeiro,1987.79,1761.67,3802.58,1044.03,2088.07,6861.34
santa maria madalena,800.91,757.25,1373.09,513.26,662.98,3136.44
santo antonio de padua,946.88,927.13,2010.52,548.01,943.17,3448.9
sao fidelis,880.9,1088.39,1433.38,540.22,730.51,2249.07
sao francisco de itabapoana,715.51,771.6,1056.74,492.72,844.96,2819
sao goncalo,1072.75,1075.1,2305.28,686.27,1031.97,2524.29
sao joao da barra,905.24,1129.66,1447.04,542.94,762.24,2062.84
sao joao de meriti,962.39,961.97,1885.48,676.03,937.63,2534.65
sao jose de uba,632.16,713.31,864.77,467.73,665.04,3109.45
sao jose do vale do rio preto,800.52,764.87,1138.29,498,939.14,2390.22
sao pedro da aldeia,1113.6,972.03,2252.09,650.7,1047.37,2449.81
sao sebastiao do alto,685.52,687.62,1396.91,464.16,724.18,1858.83
sapucaia,837.4,918.93,1494.12,584.07,765.67,2866.28
saquarema,976.74,1004.74,1821.34,614.01,1010.64,2499.31
seropedica,1015.16,1003.57,2191.02,638.92,903.59,4014.58
silva jardim,797.96,755.24,1133.37,554.75,988.12,2886.66
sumidouro,693.63,731.7,1288.44,452.61,721.31,1736.12
tangua,763.05,832.49,1266.06,566.04,706.27,2114.85
teresopolis,1169.76,1076.69,2352.22,654.64,1289.93,3478.6
trajano de moraes,733.25,906.87,1034.77,548.81,572.94,4410.48
tres rios,1110.03,956.98,2180.92,580.26,1325.84,3073.49
valenca,958.67,916.04,1915.16,527.57,1019.4,2347.81
varre-sai,668.68,874.57,892.91,467.2,638.46,4691.28
vassouras,989.25,976.01,2105.66,541,1019.38,3649.98
volta redonda,1336.13,1343.65,2020.04,743.15,1378.46,3683.82
