city,total,main_regular,main_irregular,other_regular,other_irregular
acari,4097.52621056,1907.39650257,2190.12970799,1912.59665353,2184.92955703
acu,20851.45528631,8835.45507744,12016.00020887,8872.9810925,11978.47419382
afonso bezerra,3145.89761243,1078.62733872,2067.27027371,1083.66463912,2062.23297332
agua nova,985.32535351,251.96189176,733.36346175,251.96189176,733.36346175
alexandria,4317.19552356,1119.208101,3197.98742256,1130.03955549,3187.15596807
almino afonso,1689.98145717,379.6405106,1310.34094657,385.73159799,1304.24985918
alto do rodrigues,4682.952787,2829.91699655,1853.03579045,2836.13052879,1846.82225821
angicos,3940.87747759,1719.81409459,2221.063383,1724.98689247,2215.89058512
antonio martins,2197.88400065,547.19236576,1650.69163489,553.47470801,1644.40929264
apodi,13817.17278702,4001.67945617,9815.49333085,4056.44617054,9760.72661649
areia branca,9308.95002574,5680.09858089,3628.85144485,5705.05903751,3603.89098824
ares,4143.39369633,1978.20967694,2165.18401939,1983.78979997,2159.60389636
augusto severo,3085.03254401,837.57991762,2247.45262639,865.80914183,2219.22340218
baia formosa,2882.67014494,1681.77666754,1200.8934774,1687.54276319,1195.12738175
barauna,8517.34826469,2914.04304004,5603.30522465,2914.04304004,5603.30522465
barcelona,1371.27159841,444.18246497,927.08913344,444.18246497,927.08913344
bento fernandes,1748.6887411,608.46965976,1140.21908134,608.46965976,1140.21908134
bodo,954.93232934,292.56735577,662.36497357,292.56735577,662.36497357
bom jesus,3445.11316392,1175.91713614,2269.19602778,1183.00190322,2262.1112607
brejinho,4285.18510603,1420.41230798,2864.77279805,1434.3776853,2850.80742072
caicara do norte,1963.71862956,636.11320361,1327.60542595,638.63599109,1325.08263847
caicara do rio do vento,885.174268,440.15576269,445.01850531,440.15576269,445.01850531
caico,29093.55454425,13815.43555777,15278.11898648,13842.97635319,15250.57819108
campo redondo,2707.0933892,957.54656149,1749.54682771,957.54656149,1749.54682771
canguaretama,9594.05806341,4332.01522094,5262.04284247,4344.14349113,5249.91457228
caraubas,6836.62170232,2017.20933222,4819.4123701,2061.93326807,4774.68843426
carnauba dos dantas,3389.60510459,1340.88609929,2048.7190053,1347.27916782,2042.32593676
carnaubais,3283.12316676,1241.72374754,2041.39941922,1250.79250856,2032.3306582
ceara-mirim,22049.52224194,11182.6331978,10866.88904414,11182.6331978,10866.88904414
cerro cora,4774.96332217,1169.30017547,3605.6631467,1173.59741816,3601.36590401
