city,total,regular,military_and_gov,irregular,entrepreneur,employers
acari,701.04,739.72,1213.73,450.16,756.46,2204.9
acu,803.98,907.02,1231.26,499.08,668.3,4751.75
afonso bezerra,580.34,905.18,2353.74,449.06,363.08,1000
agua nova,549.76,758.01,633.37,439.46,423.32,3000
alexandria,565.69,802.36,995.64,335.93,529.99,4394.06
almino afonso,548.46,827.14,1120.97,355.12,526.11,1502.03
alto do rodrigues,865.22,1049.07,1012.96,551.37,713.88,1336.22
angicos,657.46,761.68,1107.13,456.65,557.52,2215.57
antonio martins,478.6,703.1,868.8,345.13,474.8,1686.7
apodi,713.78,792.13,1262.69,405.02,498.59,9565.23
areia branca,795.86,936.84,1077.34,483.82,650.36,5036.21
ares,608.89,694.31,1040.98,444.19,587.28,1500
augusto severo,539.03,854.99,797.95,397.75,347.2,6690.69
baia formosa,665.18,850.8,953.83,412.57,443.23,2381.89
barauna,549.18,602.6,2000,410.5,629.63,1310.5
barcelona,512.27,636.16,982.67,315.87,401.15,200
bento fernandes,567.4,676.5,787.3,375.25,492.9,50
bodo,666.69,750.94,1094.36,595.11,395.14,530
bom jesus,676.46,637.54,1095.05,436.27,847.95,4253.74
brejinho,546.63,622.48,994.94,368.67,562.93,3365.8
caicara do norte,471.48,751.67,644.25,271.61,357.52,4359.44
caicara do rio do vento,609.85,719.05,708.79,435.01,581.27,1000
caico,961.76,894.78,1883.1,475.67,779.16,6016.25
campo redondo,612.37,758.98,1209.07,434.42,386.57,5000
canguaretama,592.44,676.46,977.9,399.53,508.52,2071.31
caraubas,660.61,891.53,1021.53,404.13,625.88,3304.68
carnauba dos dantas,620.11,670.23,905.11,455.84,501.68,2860.85
carnaubais,606.68,750.52,837.27,483.01,454.6,5336.35
ceara-mirim,682.28,690.82,1436.94,471.15,656.93,2901.04
cerro cora,551.37,710.41,1344.82,352.13,517.57,2277.42
coronel ezequiel,554.73,665.59,849.46,398.13,584.23,-
coronel joao pessoa,442.3,709.62,721.32,305.91,559.1,-
cruzeta,530.74,695.97,939.32,371.59,449.3,3494.17
currais novos,842.14,955.15,1642.21,455.47,815.32,3080.26
doutor severiano,512.17,873.42,1103.18,370.26,408.46,827.59
encanto,576.34,778.52,1013.44,355.92,587.94,806.16
equador,566.21,611.86,1146.02,374.1,529.5,1216.41
espirito santo,584.39,630.76,1090.62,394.71,651.47,1445.82
extremoz,731.14,782.19,1480.43,528.58,687.74,1478.91
felipe guerra,613.17,800.97,1943.4,378.79,454.1,1115.29
fernando pedroza,680.44,887.55,823.54,383.76,647.8,797.78
florania,621.17,870.32,1213.35,376,663.02,1516.4
francisco dantas,615.01,675.1,780.14,430.58,685.51,2000
frutuoso gomes,516.42,751.19,1823.89,351.22,453.8,1775.12
galinhos,576.65,759.87,1301.08,389.84,396.58,384.32
goianinha,839.52,771.63,1002.5,666.67,1012.52,4508.02
governador dix-sept rosado,608.91,762.19,902.61,436.96,634.77,1857.22
grossos,801.85,861.99,1063.34,496.97,694.63,6490.94
guamare,836.2,954.99,943.09,611,958.35,3000
ielmo marinho,487.85,620.95,657.9,356.06,467.92,4284.76
ipanguacu,613.16,712.7,1191.17,412.23,603.31,1836.55
ipueira,585.32,854.12,1031.03,401.5,397.94,845.06
itaja,609.54,658.42,786.23,488.93,637.99,1572.89
itau,527.59,698.45,861.54,417.1,420.21,1338.95
jacana,444.84,680.37,722.36,327.17,401.41,419.96
jandaira,600.45,681.87,624.73,374.13,632.61,5733.11
janduis,581.99,664.67,1408.27,396.15,549.12,2000
januario cicco,411.36,711.11,712.45,364.56,282.2,-
japi,518.15,680.2,916.55,391.66,375.67,-
jardim de angicos,547.42,647.13,1115.67,406.12,324.83,7000
jardim de piranhas,572.91,667.37,963.51,428.21,665.58,1387.19
jardim do serido,683.8,652.75,1218.26,395.35,777.05,2793.48
joao camara,688.86,814.31,1424.93,401.76,652.9,2832.29
joao dias,509.32,640.11,831.44,426.89,341.54,-
jose da penha,412.5,628.2,814.9,303.5,348.29,941.08
jucurutu,559.15,706.37,919.83,400.6,551.69,3037.34
jundia,441.24,607.51,856.65,347.93,343.03,-
lagoa d'anta,473.75,626.87,886.03,287.27,358.06,2831.36
lagoa de pedras,385.57,677.32,795.99,365.03,258.14,2466.97
lagoa de velhos,536.98,589.7,809.25,409.85,383.09,2560.55
lagoa nova,548.54,807.56,848.01,378.47,422.1,1898.9
lagoa salgada,529.18,748.09,958.61,390.58,474.27,2254.39
lajes,577.83,702.35,784.26,434.14,571.83,2210.08
lajes pintadas,572.87,673.89,887.21,468.49,478.12,-
lucrecia,709.03,911.1,1531.15,391.81,533.81,2569.67
luis gomes,523.85,742.27,927.29,470.39,407.7,1200
macaiba,686,711.36,1251.15,435.89,713.66,2407.65
macau,886.39,1037.24,1500.03,514.7,722.69,2240.45
major sales,510.56,851.59,1358.64,286.12,548.37,1321.85
marcelino vieira,522.22,850.38,1091.25,417.14,427.49,-
martins,561.01,695,1081.6,404.64,464.92,1924.12
maxaranguape,597.2,609.68,1113.01,463.75,606.28,1188.6
messias targino,525.77,661.64,1379.9,428.88,569.93,908.68
montanhas,566.48,711.46,894.57,373.79,523.6,822.05
monte alegre,664.6,719.33,1024.44,380.99,761.43,2159.36
monte das gameleiras,579.06,665.19,825.28,386.52,282.3,3534.35
mossoro,1090.39,1087.47,2474.39,589.5,948.16,4170.2
natal,1395.95,1204.24,3287.41,693.73,1287.65,5533.01
nisia floresta,683.45,817.48,1323.25,462.5,550.91,3988.92
nova cruz,670.89,784.66,1160.32,415.25,623.58,2374.12
olho-d'agua do borges,623.28,859.18,1369.91,427.98,442.78,2796.75
ouro branco,581.16,804.72,1225.87,424.1,452.92,-
parana,438.9,662.38,899.81,334.86,298.41,1500
parau,529.39,741.45,851.13,382.26,383.21,1000
parazinho,513.35,688.2,988.36,358.42,444.58,2480.8
parelhas,693.32,720.26,1444.03,454.28,567.86,1970.97
parnamirim,1401.46,1202.69,2738.88,714.9,1383.19,4166.31
passa e fica,478.81,643.39,755.19,352.61,502.92,957.68
passagem,498.58,614.41,712.17,460.92,397.58,-
patu,584.71,926.2,2345.42,371.52,420.5,2112.04
pau dos ferros,874.69,920.97,1916.04,488.82,872.02,2967.97
pedra grande,447.34,690.49,711.75,368.74,328.08,711.13
pedra preta,560.33,585.63,1184.71,530.8,572.01,452.06
pedro avelino,602.63,654.49,933.34,508.31,603.91,950.44
pedro velho,587.21,646.09,935.08,452.68,498.5,1450.12
pendencias,801.01,871.24,1328.36,545.96,851.47,3243.02
piloes,533.62,791.67,753.22,368.73,333.7,2029.5
poco branco,684.15,858.51,1232.26,430.32,524.58,400
portalegre,511.64,762.79,1013.43,296.32,462.53,1358.85
porto do mangue,489.38,712.43,2933.97,427.82,261.74,1500
presidente juscelino,594.5,716.51,806.34,567.77,402.41,1350
pureza,508.79,772.62,1433.24,335.79,401.12,1381.3
rafael fernandes,549.54,906.66,857.39,414.58,333.84,1588.7
rafael godeiro,481.22,726.93,873.94,416.88,377.78,-
riacho da cruz,433.77,770.68,802,287.87,294.83,800
riacho de santana,539.44,687.98,1060.32,426.55,462.34,500
riachuelo,636.65,630.46,988.6,549.17,550.64,1484.18
rio do fogo,472.28,670.63,680.78,290.31,560.14,928.46
rodolfo fernandes,419.48,622.35,1097.13,307.92,414.76,1373.02
ruy barbosa,571.13,672.69,1952.52,454.1,388.54,-
santa cruz,635.92,779.46,1295.74,389.25,526.56,1875.38
santa maria,576.57,731.4,510,445.04,566.99,1395.06
santana do matos,579.36,817.55,968.23,386.61,539.33,2688.56
santana do serido,461.78,726.77,903.16,382.64,298.63,600
santo antonio,725.22,720.12,5194.65,363.95,494.5,3510.41
sao bento do norte,532.5,757.57,797.16,404.05,393.27,2187.32
sao bento do trairi,519.82,712.85,566.26,409.32,266.88,-
sao fernando,608.76,645.48,1433.53,494.59,548.61,1446.52
