city,total,main_regular,main_irregular,other_regular,other_irregular
acegua,2052.61190654,852.57666881,1200.03523773,858.4540266,1194.15787994
agua santa,2371.73116831,671.25977698,1700.47139133,676.37634313,1695.35482519
agudo,10016.06202865,4975.23780487,5040.82422378,4997.33156188,5018.73046679
ajuricaba,4476.20628572,1710.66016191,2765.54612381,1723.29853785,2752.90774787
alecrim,4030.49243531,883.78427738,3146.70815793,892.87886879,3137.61356652
alegrete,35010.40207358,22578.15311621,12432.24895737,22634.81746915,12375.58460444
alegria,2735.86095392,1199.01927391,1536.84168001,1225.49473851,1510.36621541
almirante tamandare do sul,1234.34397937,949.98695217,284.3570272,949.98695217,284.3570272
alpestre,5648.2710418,1058.26313613,4590.00790567,1062.52862602,4585.74241578
alto alegre,1194.84107765,430.81214063,764.02893702,437.83274898,757.00832867
alto feliz,2145.30518899,1247.43242395,897.87276504,1247.43242395,897.87276504
alvorada,90783.3146887,65249.12871428,25534.18597442,65292.24849858,25491.06619009
amaral ferrador,3476.03395992,1986.72668608,1489.30727384,1993.43701867,1482.59694125
ametista do sul,4112.37184443,1791.47404339,2320.89780104,1801.06583231,2311.30601211
andre da rocha,685.83077636,367.50486396,318.3259124,367.50486396,318.3259124
anta gorda,4139.23343659,2269.52385583,1869.70958076,2281.59958912,1857.63384747
antonio prado,8375.84312336,5096.79894711,3279.04417625,5145.66542926,3230.17769411
arambare,1426.11075091,881.04773476,545.06301615,883.32187549,542.78887543
ararica,2611.34878306,1814.45656273,796.89222033,1817.88205395,793.4667291
aratiba,4154.08556939,2723.82097018,1430.26459921,2808.00769745,1346.07787197
arroio do meio,12121.55253346,9219.06052482,2902.49200864,9219.06052482,2902.49200864
arroio do padre,1538.48555371,405.25024006,1133.23531365,405.25024006,1133.23531365
arroio do sal,3647.303467,1873.68341214,1773.62005486,1888.48608507,1758.81738192
arroio do tigre,8815.49541905,5172.12620308,3643.36921597,5199.67091787,3615.82450118
arroio dos ratos,6012.23307262,3700.28360392,2311.9494687,3700.28360392,2311.9494687
arroio grande,7354.94400578,3880.92420093,3474.01980485,3896.66927196,3458.27473384
arvorezinha,5950.06170494,2674.74615169,3275.31555325,2674.74615169,3275.31555325
augusto pestana,4254.9122772,3198.62358841,1056.28868879,3209.76085399,1045.1514232
aurea,1954.53617171,660.81845897,1293.71771274,660.81845897,1293.71771274
bage,50108.7990659,33823.21624052,16285.58282538,33845.41758486,16263.38148103
balneario pinhal,3897.4855956,2114.56522754,1782.92036806,2114.56522754,1782.92036806
barao,3965.54068813,3107.19795909,858.34272904,3109.83328992,855.70739821
barao de cotegipe,4102.68004751,3236.07127172,866.60877579,3240.19081582,862.48923169
barao do triunfo,3530.01531995,460.50199554,3069.51332441,466.15931611,3063.85600385
barra do guarita,1760.90050124,931.18665709,829.71384415,934.24123978,826.65926146
barra do quarai,1460.00531422,902.76416588,557.24114834,902.76416588,557.24114834
barra do ribeiro,5389.54990467,3509.71864283,1879.83126184,3509.71864283,1879.83126184
barra do rio azul,1405.47580334,244.75826376,1160.71753958,244.75826376,1160.71753958
barra funda,1529.43923962,679.33136045,850.10787917,681.42979,848.00944962
barracao,2497.27674437,1244.58750385,1252.68924052,1250.20228075,1247.07446361
barros cassal,6393.03201203,3434.73095727,2958.30105476,3434.73095727,2958.30105476
benjamin constant do sul,1175.49873954,745.64994086,429.84879868,745.64994086,429.84879868
bento goncalves,64112.24730614,51737.76491464,12374.4823915,51766.57103147,12345.67627466
boa vista das missoes,1017.09344015,424.59919563,592.49424452,424.59919563,592.49424452
boa vista do burica,4084.15968206,3021.61714737,1062.54253469,3037.62444189,1046.53524015
boa vista do cadeado,1312.93761622,728.24963917,584.68797705,728.24963917,584.68797705
boa vista do incra,1321.02333139,587.41350351,733.60982788,590.03260697,730.99072442
boa vista do sul,1729.30299205,553.88346835,1175.4195237,562.20774911,1167.09524294
bom jesus,5083.50935553,3081.02525578,2002.48409975,3081.02525578,2002.48409975
bom principio,7491.13331033,5661.30825492,1829.82505541,5666.12338525,1825.00992508
bom progresso,944.51125392,530.92009532,413.5911586,536.55296942,407.95828451
bom retiro do sul,6661.69089819,5120.87064811,1540.82025008,5127.14316145,1534.54773674
boqueirao do leao,5000.7476781,1676.08167279,3324.66600531,1690.61984718,3310.12783094
bossoroca,3356.64341444,1113.44121621,2243.20219823,1113.44121621,2243.20219823
bozano,1688.37592565,383.78770787,1304.58821778,384.78770787,1303.58821778
braga,1874.36628641,797.89554886,1076.47073755,797.89554886,1076.47073755
brochier,3031.22980097,2342.9852388,688.24456217,2354.68108252,676.54871845
butia,7551.14653196,5280.71518498,2270.43134698,5280.71518498,2270.43134698
cacapava do sul,15625.74621522,8350.58596425,7275.16025097,8361.96526929,7263.78094593
cacequi,5226.40684681,3094.23008852,2132.17675829,3103.16103444,2123.24581238
cachoeira do sul,38744.69422223,25172.69524593,13571.9989763,25253.48833788,13491.20588435
cachoeirinha,58615.52044661,44764.52440505,13850.99604156,44775.21740655,13840.30304006
cacique doble,2480.64317945,749.66891402,1730.97426543,751.43932251,1729.20385694
caibate,2418.04119154,1194.51107297,1223.53011857,1194.51107297,1223.53011857
caicara,3467.71628206,1819.71983795,1647.99644411,1881.04228326,1586.67399877
camaqua,29837.24566982,18395.68635176,11441.55931806,18435.16582689,11402.07984292
camargo,1475.32982746,632.25531938,843.07450808,632.25531938,843.07450808
