city,total,regular,military_and_gov,irregular,entrepreneur,employers
acegua,1122.73,979.55,1211.59,581.19,1517.68,-
agua santa,1266.75,989.6,1188.65,567.17,1604.58,706.55
agudo,1124.06,955.53,1829.59,584.36,1028.97,5669.26
ajuricaba,1621.11,951.18,1195.86,608.3,2438.78,7465.09
alecrim,693.12,1030.74,1038.26,458.33,543.61,10041.03
alegrete,1117.85,857.14,1914.68,526.6,1177.62,4967.98
alegria,959.91,842.11,1229.73,481.91,1024.01,2736.15
almirante tamandare do sul,1034.61,894.78,1184.66,640.29,1140.46,3429.86
alpestre,735.21,930.62,1406.01,489.57,586.37,6662.38
alto alegre,1264.43,786.25,1212.55,491.85,1595.93,5602.45
alto feliz,928.9,900.76,1197.94,791.81,878.92,2033.45
alvorada,948,927.9,1717.44,677.48,1046.15,3114.03
amaral ferrador,727.22,974.28,973.49,450.24,745.69,2943.8
ametista do sul,1074.94,713.6,1399.03,526.61,1260.4,6288.87
andre da rocha,1230,814.62,1423.08,663.57,1828.61,5048.83
anta gorda,961.48,904.56,1570.53,632.32,966.8,2911.35
antonio prado,1190.46,983.21,1250.93,825.23,1308.78,2818.98
arambare,904.95,801.74,1102.13,574.13,1127.89,1909.16
ararica,845.41,818.04,1001.97,645.03,965.06,2092.74
aratiba,1529.35,966.63,1558.9,614.81,1757.35,9086.32
arroio do meio,1016.7,889.59,1849.91,725.57,1184.72,2877.82
arroio do padre,1386.9,702.18,994.28,775.75,1682.94,1883.73
arroio do sal,1029.02,912.92,1353.75,626.63,1067.44,1886.77
arroio do tigre,782.25,789.41,1124.29,556.53,780.24,2146.4
arroio dos ratos,917.02,969.6,1359.3,526.98,935.95,2884.57
arroio grande,870.84,782.96,1235.42,503.73,1089.45,2795.88
arvorezinha,860,852.22,1402.36,601.04,868.31,1684.07
augusto pestana,1355.79,950.42,1999.54,473.7,1651.45,2562.73
aurea,825.37,826.05,1206.99,491.98,816.62,-
bage,1185.18,1008.81,2320.47,524.72,1230.74,3874.18
balneario pinhal,904.54,918.18,1177.93,602.03,918.85,3406.49
barao,1006.67,965.48,1277.8,762.3,788.59,5399.97
barao de cotegipe,1058.65,876.78,1330.55,755.8,971.8,5518.02
barao do triunfo,725.33,943.35,1408.9,493.17,707.99,1675.5
barra do guarita,886.25,681.24,1145.87,478.92,1251.23,1062.45
barra do quarai,784.79,778.48,2270.11,637.44,628.61,2186.36
barra do ribeiro,905.08,876.67,1320.86,715.31,974.66,1902.19
barra do rio azul,849.93,828.12,1117.57,564.29,852.72,-
barra funda,939.1,804.26,1293.14,546.67,1060.23,1492.45
barracao,1081.13,928.71,1266.53,728.26,1003.96,7300.9
barros cassal,766.45,890.99,970.81,442.68,749.25,1684.93
benjamin constant do sul,535.37,753.06,916.44,746.21,426.14,500
bento goncalves,1466.77,1269.01,2330.66,843.25,1742.63,3447.27
boa vista das missoes,882.55,777.92,975.41,502.44,1124.1,-
boa vista do burica,1188.22,883.7,1335.72,611.15,1430.41,3113.6
boa vista do cadeado,899.5,767.92,1075.04,556.34,1030.69,3421.84
boa vista do incra,940.28,793.9,1050.6,498.99,1084.98,2092.93
boa vista do sul,1211.51,946.81,1500.45,721.41,1308.81,2636.76
bom jesus,972.59,747.67,1616.46,731.31,1228.59,3277.75
bom principio,1095.25,1014.65,1909.33,795.67,1082.04,2418.71
bom progresso,1054.44,826.42,1135.01,567.17,1441.28,3743.16
bom retiro do sul,944.94,821.79,1177.83,792.59,1461.29,1550.7
boqueirao do leao,980.38,965.25,1316.15,582.57,1119.29,1249.7
bossoroca,755,729.32,1157.23,470.1,849.94,1132.24
bozano,1246.2,824.76,1289.35,603.53,1295.45,7332.37
braga,785.29,866.04,971.17,486.99,866.7,1592.53
brochier,827.55,731.81,1176.36,532.73,984.02,1595.07
butia,992.86,982.75,1736.85,470.6,1245.57,1592.25
cacapava do sul,920.26,969.01,1404.21,504.81,1005.67,2478.1
cacequi,854.6,754.25,1344.18,423.38,854.03,4280.5
cachoeira do sul,1123.44,926.67,1909.3,623.68,1142.2,4396.29
cachoeirinha,1309.08,1213.35,1911.76,808.11,1378.76,3862.72
cacique doble,852.82,874.9,1506.68,443.85,759.75,4908.09
caibate,959.31,950.16,1385.69,446.75,1246.85,2590.17
caicara,948.46,811.98,1351.37,493.73,836.88,6843.04
camaqua,1046.64,973.24,1647.23,566.86,1143.57,4026.66
camargo,1378.29,1031.96,1414.26,650.62,1705.5,1888.54
cambara do sul,979.88,964.45,976.7,613.29,1255.43,3584.43
campestre da serra,867.82,891.22,1035.05,564.89,885.39,2015.05
campina das missoes,911.05,847.09,1368.93,602.32,852.13,3278.2
campinas do sul,1151.6,823.75,1199.39,671.14,1531.17,2528.58
campo bom,1185.79,1056.08,1632.52,747.1,1528.4,3180.06
campo novo,931.96,927.26,1040.38,490.18,1181.1,3571.23
campos borges,933.6,806.2,997.34,524.71,1175.46,2263.34
candelaria,807.19,812.4,1314.71,555.56,731.09,3114.87
candido godoi,809.33,963.84,968.85,583.98,615.23,5221.16
candiota,1025.94,1099.14,1394.07,791.34,897.07,1178.26
canela,1133.81,1021.55,2099.5,721.74,1274.78,2679.23
cangucu,818.01,892.38,1409.42,539.21,779.11,2861.8
canoas,1404.25,1276.28,2615.46,882.75,1547.39,3628.74
canudos do vale,938.55,869.29,1180.16,607.78,960.15,4726.98
capao bonito do sul,823.18,810.17,1282.5,646.03,824.64,2000
capao da canoa,1248.42,1019.18,1859.86,792.43,1409.2,4510.43
capao do cipo,785.24,686.56,1227.01,503.14,1020.55,1055
capao do leao,818.75,794.57,1357.68,591.18,792.56,3751.51
