city,total,main_regular,main_irregular,other_regular,other_irregular
alta floresta d'oeste,9966.65841073,4162.82666003,5803.8317507,4170.579252,5796.07915874
alto alegre dos parecis,5816.38998504,1363.56028651,4452.82969853,1372.31540621,4444.07457883
alto paraiso,8779.34623542,2308.88277772,6470.4634577,2314.45187616,6464.89435925
alvorada d'oeste,7178.83584629,3051.45145598,4127.38439031,3070.15828369,4108.67756261
ariquemes,42986.29176768,22631.21705973,20355.07470795,22670.74872708,20315.5430406
buritis,16005.44295122,4995.78880415,11009.65414707,5007.05523262,10998.38771861
cabixi,2786.27818986,1095.00713351,1691.27105635,1095.00713351,1691.27105635
cacaulandia,2866.81118056,958.55010876,1908.2610718,961.3482293,1905.46295125
cacoal,37566.19525094,20359.47708742,17206.71816352,20455.05989608,17111.13535486
campo novo de rondonia,5510.26771497,1191.89089985,4318.37681512,1197.1657296,4313.10198537
candeias do jamari,8380.42152335,4280.35433381,4100.06718954,4287.20417417,4093.21734919
castanheiras,1715.31489523,570.62128909,1144.69360614,575.28620164,1140.02869359
cerejeiras,8201.73300756,3841.98296954,4359.75003802,3847.516013,4354.21699455
chupinguaia,4266.77559722,2231.19240669,2035.58319053,2234.29008719,2032.48551004
colorado do oeste,8250.74324,4025.26208376,4225.48115624,4025.26208376,4225.48115624
corumbiara,4091.38559814,1794.33049474,2297.0551034,1795.82591965,2295.55967849
costa marques,5971.28714947,2044.75743121,3926.52971826,2044.75743121,3926.52971826
cujubim,7062.29764543,2568.31288276,4493.98476267,2572.69356162,4489.6040838
espigao d'oeste,14366.04470812,5820.77850473,8545.26620339,5820.77850473,8545.26620339
governador jorge teixeira,4515.23103986,1311.43301549,3203.79802437,1311.43301549,3203.79802437
guajara-mirim,15697.79003346,7633.59694012,8064.19309334,7633.59694012,8064.19309334
itapua do oeste,4023.9249885,1566.91934374,2457.00564476,1571.77686662,2452.14812188
jaru,23383.34206258,11326.82573204,12056.51633054,11360.46226628,12022.87979631
ji-parana,56574.16285975,33485.36141492,23088.80144483,33529.96616405,23044.19669568
machadinho d'oeste,14379.42742923,4520.89450746,9858.53292177,4543.40651886,9836.02091036
ministro andreazza,4538.23283366,1485.99273251,3052.24010115,1490.45802017,3047.7748135
mirante da serra,5477.46436074,1848.72177065,3628.74259009,1867.26672018,3610.19764055
monte negro,6671.30306478,2694.63206564,3976.67099914,2694.63206564,3976.67099914
nova brasilandia d'oeste,9785.98599201,2696.15551208,7089.83047993,2707.967794,7078.01819801
nova mamore,10017.17798171,3099.99869159,6917.17929012,3128.26750465,6888.91047708
nova uniao,3905.33982002,1193.68508238,2711.65473764,1205.56200386,2699.77781616
novo horizonte do oeste,4556.51510632,1433.29046286,3123.22464346,1433.29046286,3123.22464346
ouro preto do oeste,17697.25686429,7961.02366136,9736.23320293,7992.05243346,9705.20443083
parecis,2013.19529473,722.2586321,1290.93666263,724.44248253,1288.75281219
pimenta bueno,17182.26187107,11242.01009388,5940.25177719,11251.72237141,5930.53949965
pimenteiras do oeste,1010.51835663,507.80996914,502.70838749,509.92045781,500.59789882
porto velho,202400.86918483,131820.36207181,70580.50711302,132286.77520982,70114.09397504
presidente medici,10926.78095286,4433.69725041,6493.08370245,4441.09141105,6485.68954181
primavera de rondonia,1382.27500063,599.05419575,783.22080488,608.10289898,774.17210166
rio crespo,1262.22937517,548.70918254,713.52019263,548.70918254,713.52019263
rolim de moura,23585.00131125,12945.89168964,10639.10962161,12965.58961046,10619.41170079
santa luzia d'oeste,4154.95641199,1669.34293655,2485.61347544,1674.15478885,2480.80162314
sao felipe d'oeste,2673.50815181,984.34438975,1689.16376206,990.31991961,1683.1882322
sao francisco do guapore,7784.19436657,2346.35683053,5437.83753604,2382.15912677,5402.0352398
sao miguel do guapore,9854.50976875,3421.11353445,6433.3962343,3421.11353445,6433.3962343
seringueiras,5941.70671538,1587.29660372,4354.41011166,1605.74656336,4335.96015205
teixeiropolis,2453.20657873,822.24141897,1630.96515976,828.65882428,1624.54775445
theobroma,5119.05157069,1155.70046139,3963.3511093,1173.38930679,3945.6622639
urupa,6090.68431183,1649.65263112,4441.03168071,1649.65263112,4441.03168071
vale do anari,4347.26493204,1177.06499423,3170.19993781,1180.49346244,3166.7714696
vale do paraiso,3013.60878657,813.16649156,2200.44229501,813.16649156,2200.44229501
vilhena,38036.56647287,23412.43162491,14624.13484796,23485.02373579,14551.54273713
