city,total,regular,military_and_gov,irregular,entrepreneur,employers
alta floresta d'oeste,941.41,1034.8,1169.69,481.08,766.12,5921.57
alto alegre dos parecis,692.56,955.05,1447.05,577.63,555.73,2058.28
alto paraiso,790.53,988.98,1000.49,572.01,774.8,3567.47
alvorada d'oeste,919.6,925.91,1212.98,467.08,1003.92,3336.46
ariquemes,1253.21,1003.61,1842.81,759.86,1584.2,4476.62
buritis,857.35,948.34,1471.93,616.46,840.48,2703.83
cabixi,902.33,923.53,1431.56,541.09,959.71,3941.79
cacaulandia,998.68,930.25,1024.64,542.35,1245.44,2255.66
cacoal,1255.09,1057.37,1907.53,651.06,1273.43,8122.59
campo novo de rondonia,1248.3,894.04,1294.48,672.75,1583.3,3431.14
candeias do jamari,1098.64,999.78,1473.01,690.69,1501.94,4028.28
castanheiras,894.23,883.36,971.03,521.5,973.15,9566.41
cerejeiras,959.68,917.26,1491.94,527.17,1016.35,3425.3
chupinguaia,912.76,864.8,1498.98,589.67,1068.57,4478.4
colorado do oeste,969.73,994.91,1692.92,543.78,931.87,3343.56
corumbiara,733.51,893.49,1533.25,474.05,686.11,691.42
costa marques,776.58,934.31,1319.96,466.95,758.85,2766.85
cujubim,1032.11,989.98,1179.57,730.96,1149.99,3383.18
espigao d'oeste,1073.11,969.7,1305.99,642.99,1331.68,6169.72
governador jorge teixeira,893.3,1072.89,1316.3,455.59,981.65,-
guajara-mirim,996.15,1079.45,1800.02,523.23,861.14,4259.15
itapua do oeste,841.23,900.99,1052.41,546.75,707.51,4524.59
jaru,1068.1,964.22,1645.53,628.69,1187.5,3731.86
ji-parana,1247.13,1061.64,2240.54,666.61,1415.73,4995.89
machadinho d'oeste,833,906.28,1618.4,584.89,777,3149.64
ministro andreazza,999.41,891.92,1328.67,479.83,1198.57,1300.9
mirante da serra,1062.85,808.39,1394.73,479.6,948.21,13118.57
monte negro,838.3,864.12,1297.19,620.92,834.4,1952.79
nova brasilandia d'oeste,892.31,873.85,1642.12,470.55,872.08,2592.59
nova mamore,714.96,886.73,1531.74,499.42,666.01,598.22
nova uniao,698.38,815.18,1044.59,437.51,777.05,1023.54
novo horizonte do oeste,760.71,939.53,920.51,500.21,727.68,5236.21
ouro preto do oeste,1018.16,1029.54,1544.88,662.24,1195.88,1339.54
parecis,976.56,916.99,1126.57,550.7,970.15,4918.89
pimenta bueno,1143.01,948.42,1844.17,683.64,1192.29,6005.93
pimenteiras do oeste,968.45,915.36,1080.05,674.02,1052.43,5662.56
porto velho,1590.65,1439.15,2934.49,829.12,1647.38,4054.09
presidente medici,959.29,985.92,1385.59,614.54,798.45,4602.07
primavera de rondonia,922.27,869.4,900.58,573.76,1126.44,1610.3
rio crespo,981.14,839.81,1155.78,660.97,1365.05,2474.24
rolim de moura,1120.05,975.03,1710.87,674.78,1020.15,5532.31
santa luzia d'oeste,887.99,945.36,1507.64,485.43,898.71,3463.4
sao felipe d'oeste,655.06,849.01,1152.96,390.61,503.06,2175.64
sao francisco do guapore,938.52,1073.44,1383.36,581.58,840.06,7681.65
sao miguel do guapore,963.69,1008.73,1469.75,615.71,812.7,9588.36
seringueiras,975.39,905.17,1097.44,457.8,1163.92,7841.97
teixeiropolis,812.11,739.05,877.68,444.95,974.17,2215.39
theobroma,822.68,807.21,1060.44,528.7,878.6,899.6
urupa,808.8,955.32,1279.24,526.8,751.21,4086.61
vale do anari,857.49,935.9,1351.11,418.79,836.62,2737.86
vale do paraiso,911.39,837.38,1096.77,455.23,1135.19,6000
vilhena,1309.09,1095.08,2213.28,686.24,1627.03,3668.88
