city,total,main_regular,main_irregular,other_regular,other_irregular
alto alegre,5664.84605355,1307.07246176,4357.77359179,1307.07246176,4357.77359179
amajari,1473.6333603,504.61223853,969.02112177,504.61223853,969.02112177
boa vista,125718.74003011,73633.61221808,52085.12781203,73870.24985376,51848.4901764
bonfim,3819.82943923,881.40918245,2938.42025678,885.25388074,2934.57555849
canta,4297.35336221,1190.11994378,3107.23341843,1190.11994378,3107.23341843
caracarai,6311.31107946,2298.41037246,4012.900707,2298.41037246,4012.900707
caroebe,3257.56849728,755.23913799,2502.32935929,755.23913799,2502.32935929
iracema,3002.64295444,819.61937767,2183.02357677,819.61937767,2183.02357677
mucajai,4858.4621456,1832.17637127,3026.28577433,1832.17637127,3026.28577433
normandia,1934.02739683,761.86324358,1172.16415325,761.86324358,1172.16415325
pacaraima,3446.55775421,1035.44566609,2411.11208812,1045.83144435,2400.72630986
rorainopolis,9735.15085697,2889.65706876,6845.49378821,2889.65706876,6845.49378821
sao joao da baliza,2929.71074807,994.92059464,1934.79015343,999.64411004,1930.06663803
sao luiz,2019.77479801,751.20859131,1268.5662067,751.20859131,1268.5662067
uiramuta,2822.51821662,257.03635849,2565.48185813,266.20789108,2556.31032554
