city,total,regular,military_and_gov,irregular,entrepreneur,employers
alto alegre,771.79,1164.7,1216.29,520.4,521.27,2157.6
amajari,749.61,934.92,1268.16,665.09,614.04,-
boa vista,1422.07,1140.68,2546.95,806.9,1146.28,6311.95
bonfim,990.58,1037.88,1475.35,513.18,1278.82,1500
canta,869.31,1148.66,1816.98,564.82,625.33,751.29
caracarai,818.92,1013.39,1479.48,626.32,652.72,1828.99
caroebe,757.81,885.43,1543.05,641.76,732.69,360
iracema,691.15,840.77,1089.46,567.32,701.72,-
mucajai,1263.41,1227.5,1353.36,1016.52,1075.84,18071.88
normandia,964.18,1013.61,1198.8,620.81,1095.81,6079.32
pacaraima,1263.54,1762.58,1427.73,759.68,1447.52,2816.15
rorainopolis,756.03,745.72,1406.12,547.44,739.56,1456.86
sao joao da baliza,783.39,854.86,1371.57,523.07,715.69,1669.06
sao luiz,884.96,947.63,1372.13,581.77,985.8,1402.7
uiramuta,803.45,850.05,1431.34,884.09,471.3,900
