city,total,main_regular,main_irregular,other_regular,other_irregular
abdon batista,1095.68927145,757.52501918,338.16425227,759.48994393,336.19932753
abelardo luz,8737.74675847,3946.92425477,4790.8225037,3946.92425477,4790.8225037
agrolandia,5593.10316894,3718.53529196,1874.56787698,3723.41158073,1869.69158822
agronomica,3022.04433134,2001.09493852,1020.94939282,2001.09493852,1020.94939282
agua doce,3778.27810726,2037.95138361,1740.32672365,2040.75477183,1737.52333543
aguas de chapeco,3401.66639032,1967.92937366,1433.73701666,1971.07505934,1430.59133097
aguas frias,1403.03055106,1047.81896599,355.21158507,1047.81896599,355.21158507
aguas mornas,3720.28980185,2465.07629193,1255.21350992,2468.53426174,1251.75554011
alfredo wagner,5256.95803467,2398.70072873,2858.25730594,2413.1758491,2843.78218559
alto bela vista,1240.02621198,600.54946419,639.47674779,603.86532348,636.16088848
anchieta,3845.73518037,1256.82177233,2588.91340804,1286.35278761,2559.38239277
angelina,3099.93673573,1351.07764902,1748.85908671,1351.07764902,1748.85908671
anita garibaldi,4665.35898656,2079.13799142,2586.22099514,2082.67869306,2582.6802935
anitapolis,1983.67804763,641.36978364,1342.30826399,644.50397472,1339.1740729
antonio carlos,4235.00102452,3246.16735342,988.8336711,3246.16735342,988.8336711
apiuna,6116.65656747,4388.69798386,1727.95858361,4402.23749711,1714.41907037
arabuta,2957.96657432,1099.23299304,1858.73358128,1104.76829409,1853.19828022
araquari,12062.63924867,8985.06150438,3077.57774429,8985.06150438,3077.57774429
ararangua,33355.98270056,22276.98234758,11079.00035298,22311.88520001,11044.09750056
armazem,4693.73478178,2984.70477933,1709.03000245,3004.67244988,1689.06233193
arroio trinta,2173.6323352,1436.71242268,736.91991252,1436.71242268,736.91991252
arvoredo,1608.43935603,468.35547105,1140.08388498,470.7118811,1137.72747493
ascurra,4234.69436631,3596.34770151,638.3466648,3596.34770151,638.3466648
atalanta,2111.28588688,1197.90124882,913.38463806,1207.04801265,904.23787424
aurora,3455.43576518,1607.73460165,1847.70116353,1613.31195923,1842.12380595
balneario arroio do silva,4272.28708416,2465.10816036,1807.1789238,2465.10816036,1807.1789238
balneario barra do sul,3368.36096194,1932.71762288,1435.64333906,1939.03438729,1429.32657463
balneario camboriu,61111.73669817,44517.82958268,16593.90711549,44633.8828681,16477.85383006
balneario gaivota,3884.81416369,1934.98696633,1949.82719736,1952.19362913,1932.62053457
balneario picarras,8402.71057854,5309.06685478,3093.64372376,5314.54899914,3088.16157941
bandeirante,1631.61180215,490.5390999,1141.07270225,493.57932244,1138.0324797
barra bonita,1166.34762099,819.40050084,346.94712015,835.13485304,331.21276795
barra velha,10309.20541131,6354.63658456,3954.56882675,6368.41550579,3940.78990552
bela vista do toldo,2927.83320579,1513.77259428,1414.06061151,1517.22012157,1410.61308422
belmonte,1652.97713546,947.32567792,705.65145754,952.74074691,700.23638856
benedito novo,5906.85014403,4619.74310892,1287.10703511,4619.74310892,1287.10703511
biguacu,29643.23109873,22125.58128939,7517.64980934,22142.86043407,7500.37066465
blumenau,180937.76297716,153416.03094748,27521.73202968,153508.48217638,27429.2808008
bocaina do sul,1511.46348644,724.41063875,787.05284769,726.68686982,784.77661663
bom jardim da serra,1965.5496496,1055.14911992,910.40052968,1063.54040026,902.00924933
bom jesus,1282.02073333,785.84423192,496.17650141,793.67555592,488.34517741
bom jesus do oeste,1501.59482288,407.20823613,1094.38658675,411.92138838,1089.67343451
bom retiro,4738.10458601,3058.22588744,1679.87869857,3068.72970072,1669.37488529
bombinhas,7368.08289427,4480.15970087,2887.9231934,4498.58052917,2869.50236509
botuvera,2860.43229108,1886.51128532,973.92100576,1889.58054934,970.85174173
braco do norte,17039.04777049,11592.35272316,5446.69504733,11614.6905272,5424.35724328
braco do trombudo,2181.0232938,1427.55697748,753.46631632,1427.55697748,753.46631632
brunopolis,1457.49990396,447.66989803,1009.83000593,447.66989803,1009.83000593
brusque,63246.91510559,52236.30000849,11010.6150971,52264.68530102,10982.22980457
cacador,33920.28879726,27012.55403904,6907.73475822,27048.03584021,6872.25295703
caibi,4028.03508864,1791.25186113,2236.78322751,1799.14853151,2228.88655712
calmon,1567.74910426,940.17775588,627.57134838,942.92863533,624.82046893
camboriu,32612.99511903,23629.37613951,8983.61897952,23648.14624349,8964.84887555
campo alegre,6183.51149066,3682.9156748,2500.59581586,3690.39746215,2493.11402851
campo belo do sul,3850.38732142,1395.73591721,2454.65140421,1395.73591721,2454.65140421
campo ere,4971.15568085,2079.91832626,2891.23735459,2089.90068517,2881.25499567
campos novos,16276.08802486,10914.4282989,5361.65972596,10914.4282989,5361.65972596
canelinha,4865.5432704,3235.27377236,1630.26949804,3235.27377236,1630.26949804
