city,total,regular,military_and_gov,irregular,entrepreneur,employers
abdon batista,813.12,847.46,1358.08,484.28,762.81,1713.96
abelardo luz,1091.38,1003.61,1424.18,584.65,1340.2,3249.74
agrolandia,1083.32,1044.58,1364.95,714.15,1078.1,2742.78
agronomica,1365.52,1201.74,1330.17,597.8,1504.84,2566.47
agua doce,1204.07,922.14,1420.46,647.91,1682.01,2301.98
aguas de chapeco,1034.05,1096.82,1392.42,767.04,923.41,3110.71
aguas frias,1034.67,921.94,1416.46,448.89,1082.73,4608.8
aguas mornas,963.11,989.89,1635.82,784.78,787.32,5944.23
alfredo wagner,930.45,883.41,1361.6,585.29,945.36,2017.17
alto bela vista,855.39,1077.23,2358.73,479,702.33,2527.89
anchieta,938.36,901.07,1521.55,574.26,918.4,2053.72
angelina,874.34,898.4,1382.53,627.01,588.24,3079.14
anita garibaldi,878.22,911.88,1628.71,384.61,728.97,2277.18
anitapolis,791.25,868.07,1518.93,589.9,783.24,-
antonio carlos,1213.23,1134.97,1489.26,794.84,1219.28,4214.34
apiuna,1007.23,906.56,1530.55,735.53,1009.08,2764.37
arabuta,1144.13,937.48,1373.5,699.03,1242.56,2555.67
araquari,987.42,981.34,1335.05,650.28,1033.93,2312.78
ararangua,1229.56,1081.65,2918.39,707.9,1240.34,3583.4
armazem,1056.82,841.98,1684.08,709.66,1315.68,2687.53
arroio trinta,1391.17,984.36,1399.16,960.22,1500.97,6934.4
arvoredo,794.55,869.71,1254.64,514.36,714.09,2378.31
ascurra,1081.93,978.97,1557.46,710.29,1147.25,3900.61
atalanta,1083.9,957.84,1532,573.54,953.91,4851.1
aurora,1247.52,985.89,1391.59,941.74,1356.22,13966
balneario arroio do silva,1091.95,970.8,1472.61,660.98,1190.4,4079.54
balneario barra do sul,1004.01,1094.57,1462.22,647.73,931.75,1982.82
balneario camboriu,1948.54,1496.2,3244.84,1137.39,2255.11,4999.58
balneario gaivota,983.54,930.06,1614,636.55,968.77,2161.18
balneario picarras,1227.64,1075.65,1776.78,783.85,1267.51,3688.63
bandeirante,835.9,712.18,1626.74,483.35,992.54,6781.21
barra bonita,740.97,1003.22,943.02,771.11,672.07,-
barra velha,1199.57,1059.6,1855.04,727.7,1357.72,2942.71
bela vista do toldo,715.56,789.57,2127.56,465.93,748.74,2154.97
belmonte,1034.56,744.33,1444.79,587.91,1070.89,6209.16
benedito novo,1042.56,1018.3,1056.71,827.16,1056.34,3794.51
biguacu,1152.63,1057.58,1951.16,873.66,1312.18,2733.24
blumenau,1576.88,1327.98,2714.02,963.43,1946.68,4645.5
bocaina do sul,697,643.56,954.41,521.99,622.26,2600.57
bom jardim da serra,1086.17,897.98,1076.3,723.18,1105.87,7357.91
bom jesus,1442.65,948.39,2478.61,754.1,2545.84,2026.66
bom jesus do oeste,880.13,807.54,1316.34,354.02,857.5,2030.17
bom retiro,969.43,840.64,1366.96,609.38,1121.78,3904.66
bombinhas,1248.99,1012.55,1376.63,825.46,1331.98,3933.46
botuvera,1049.19,1101.49,1983.8,583.83,902.8,2400.88
braco do norte,1192.49,998.02,2546.24,730.91,1605.62,2772.45
braco do trombudo,1178.96,1289.22,1056.72,762.07,952.74,4088.29
brunopolis,787.54,866.52,914.72,657.88,765.67,795.52
brusque,1450.95,1249.05,2356.91,1188.33,1805.5,3665.31
cacador,1212.75,1103.53,1788.63,742.51,1233.24,4586.8
caibi,1055.78,1002.45,1609.4,788.25,1123.11,1496.31
calmon,734.82,736.35,773.98,547.96,772.1,1786.18
camboriu,1284.49,1135.05,1321.08,908.84,1649.56,3917.47
campo alegre,807.99,832.16,1365.73,543.61,774.06,2304.76
campo belo do sul,733.36,761.94,1291.64,427.89,612.19,7852.78
campo ere,986.18,920.67,1491.02,458.87,797.94,5395.52
campos novos,1128.89,1072.5,1639.61,589.16,1172.68,2895.45
canelinha,1068.15,1024.56,1438.5,762.77,1206.32,3619.85
canoinhas,1123.25,1089.71,2188.32,577.14,1147.17,3366.62
capao alto,775.64,746.61,916.06,624.13,838.95,1147.95
capinzal,1169.21,1051.24,1811.19,595.34,1406.47,5131.4
capivari de baixo,1060.16,1070.3,1440.42,697.13,1092.51,1828.91
catanduvas,1060.91,1043.59,1529.34,689.11,1118.18,2500.8
caxambu do sul,1104.1,1192.53,1780.87,472.06,1188.66,1609.47
celso ramos,750.41,863.61,1039.21,460.99,613.61,1632.19
cerro negro,782.12,707.37,1030.33,415.33,770.35,5317.1
chapadao do lageado,840.84,765.19,1273.04,680.34,823.35,5000
chapeco,1392.38,1218.54,2554.76,778.64,1562.24,3629.32
cocal do sul,1168.3,1073.39,2183.63,908.31,1368.65,2102.68
concordia,1312.86,1126.11,2128.93,746.59,1583.1,2994.32
cordilheira alta,1117.84,953.61,1439.69,661.72,1277.17,2778.14
coronel freitas,1048.08,974.27,1237.51,699.04,1122.24,9365.63
coronel martins,849.15,772.21,1324.38,429.81,923.11,4000
correia pinto,1160.89,1076.9,1422.73,573.11,1663.18,2481.12
corupa,1320.24,1073.58,2101.64,876.6,1464.35,8591.19
