city,total,main_regular,main_irregular,other_regular,other_irregular
adamantina,16745.0154034,12469.42705195,4275.58835145,12473.59403945,4271.42136394
adolfo,1682.04299514,1204.86309322,477.17990192,1208.2686532,473.77434194
aguai,15067.23415946,10221.89113905,4845.34302041,10221.89113905,4845.34302041
aguas da prata,3714.09325435,2348.21684029,1365.87641406,2351.28688272,1362.80637164
aguas de lindoia,8651.32733131,5909.60560591,2741.7217254,5915.54158606,2735.78574524
aguas de santa barbara,2592.05472801,1815.82815346,776.22657455,1815.82815346,776.22657455
aguas de sao pedro,1299.22358605,892.13307396,407.09051209,893.60129102,405.62229503
agudos,16431.84660258,12616.08992644,3815.75667614,12616.08992644,3815.75667614
alambari,2120.16471417,1457.53191564,662.63279853,1457.53191564,662.63279853
alfredo marcondes,1752.12292984,1156.50783412,595.61509572,1156.50783412,595.61509572
altair,1743.05414988,1338.39536624,404.65878364,1340.40529765,402.64885223
altinopolis,7851.16158801,5190.5545216,2660.60706641,5194.87970881,2656.28187919
alto alegre,2043.69896008,1326.26768548,717.4312746,1330.10672794,713.59223214
aluminio,7115.81690693,5479.6603299,1636.15657703,5479.6603299,1636.15657703
alvares florence,1791.41392516,1087.38665901,704.02726615,1087.38665901,704.02726615
alvares machado,11344.93177763,7495.15322049,3849.77855714,7502.75754224,3842.17423539
alvaro de carvalho,1453.26222551,1100.81161727,352.45060824,1100.81161727,352.45060824
alvinlandia,1310.00355006,1003.22083869,306.78271137,1008.36779162,301.63575843
americana,112748.74566853,85999.66878625,26749.07688228,86061.79399408,26686.95167445
americo brasiliense,16476.91942347,13420.35800978,3056.56141369,13420.35800978,3056.56141369
americo de campos,2781.4644205,1705.12547604,1076.33894446,1707.33616635,1074.12825415
amparo,35412.208744,28218.67657434,7193.53216966,28249.30487276,7162.90387124
analandia,2189.76802927,1532.87924496,656.88878431,1536.44571566,653.32231362
andradina,26565.59344431,18641.66652212,7923.92692219,18657.08909879,7908.50434552
angatuba,10554.72012977,6978.95307252,3575.76705725,6988.97374736,3565.74638241
anhembi,2466.8997947,1517.55981938,949.33997532,1517.55981938,949.33997532
anhumas,1765.64993593,1104.55733762,661.09259831,1104.55733762,661.09259831
aparecida,18404.38348366,10609.67609105,7794.70739261,10621.18714151,7783.19634216
aparecida d'oeste,1886.20075935,1027.08422428,859.11653507,1027.08422428,859.11653507
apiai,10202.79258567,5492.97822537,4709.8143603,5499.88628926,4702.90629642
aracariguama,8055.58689612,5309.53781436,2746.04908176,5312.22485587,2743.36204024
aracatuba,90863.39616276,66456.19702445,24407.19913831,66496.60481825,24366.7913445
aracoiaba da serra,12780.41752635,7962.09602742,4818.32149893,7962.09602742,4818.32149893
aramina,2379.10352669,1691.87722855,687.22629814,1694.53402523,684.56950147
arandu,2899.76517676,2063.41383759,836.35133917,2063.41383759,836.35133917
arapei,1007.40708189,664.47116596,342.93591593,664.47116596,342.93591593
araraquara,106736.50602568,82025.70050841,24710.80551727,82130.23768373,24606.26834195
araras,58253.33764832,44752.86861505,13500.46903327,44765.14784747,13488.18980086
arco-iris,919.93560678,546.51992667,373.41568011,546.51992667,373.41568011
arealva,4019.74886453,2416.47085553,1603.278009,2422.17191282,1597.5769517
areias,1504.38986663,960.40021858,543.98964805,960.40021858,543.98964805
areiopolis,5061.55186728,4339.56365119,721.98821609,4339.56365119,721.98821609
