city,total,regular,military_and_gov,irregular,entrepreneur,employers
adamantina,1313.32,1097.78,1877.57,668.66,1499.04,5442.11
adolfo,1035.09,989.93,2632.83,743.37,1273.61,1835.68
aguai,1011.12,898.74,2791.93,538.64,1404.86,4998.1
aguas da prata,1114.41,1081.98,1707.54,835.83,1224.02,2681.12
aguas de lindoia,982.55,870.25,1671.16,618.69,1209.47,2702.21
aguas de santa barbara,1179.46,1073.32,1973.2,704.06,1621.27,2884.24
aguas de sao pedro,1764.33,1522.31,3284.46,662.73,2273.65,2739.88
agudos,973.71,960.38,1540.27,607.46,1242.26,1855.25
alambari,947.58,912.64,1003.81,543.98,1350.06,3805.31
alfredo marcondes,875.97,870.47,1617.69,539.87,1109.87,738.59
altair,1020.96,992.33,2323.7,637.57,1739.03,5038.72
altinopolis,1110.09,1031.48,1311.26,657.51,1791.01,3980.12
alto alegre,782.98,827.92,1507.78,554.71,764.91,2447.58
aluminio,1384.77,1492.51,1493.58,572.71,1239.69,4266.55
alvares florence,953.53,852.05,1381.38,581.6,1228.01,3875.93
alvares machado,1010.03,932.11,2010.56,557.78,1013.1,3124.48
alvaro de carvalho,809.76,744.8,1471.73,503.62,805.33,1700
alvinlandia,1254.73,878.28,1449.38,729.85,3242.05,1447.65
americana,1641.01,1500.59,2788.58,905.98,1874.38,4406.14
americo brasiliense,1075.62,1073.15,1703.84,597.98,1140.01,3969.5
americo de campos,1037.96,996.23,1616.05,517.07,1253.09,4603.27
amparo,1292.15,1099.14,2317.96,804.12,1818.6,3446.93
analandia,977.94,915.68,1182.28,643.84,1123.01,2781.74
andradina,1415.54,1295.65,3212.3,661.85,1282.27,7424.41
angatuba,936.75,917.31,1288.96,517.42,1352.28,2176.14
anhembi,917.52,964.4,1805.46,557.55,1028.68,1648.1
anhumas,890.69,870.04,1084.81,584.47,1117.25,1285.27
aparecida,1088.83,1028.42,1949.48,605.52,1230.13,2928.1
aparecida d'oeste,975.81,865.97,1116.69,571.65,920.76,9980.41
apiai,865.84,883.23,1356.48,457.63,1004.04,3591.56
aracariguama,1167.91,1029.47,1394.58,808.34,1462.71,5339.01
aracatuba,1492.3,1201.98,2830.43,727.42,1974.44,5196.92
aracoiaba da serra,1303.42,1235.3,2203.1,647.04,1902.2,2696.05
aramina,1060.7,1116.04,1515.09,750.41,1149.61,2991.37
arandu,808.44,743.82,1104.37,691.65,1114.2,1964.57
arapei,681.18,698.42,1261.02,484.1,783.66,2838.88
araraquara,1504.77,1341.67,3149.44,858.4,1628.67,3846.85
araras,1374.23,1288.19,2128.88,710.22,1859.83,3772.88
arco-iris,747.09,709.32,844.8,467.63,857.39,5862.51
arealva,954.58,870.2,1578.28,556.11,1205.63,2178.73
areias,745.64,778.87,1311.1,453.16,769.83,6985.58
areiopolis,943.89,906.79,1465.47,766.91,1364.84,2341.75
ariranha,1150.95,1117.8,1482.11,537.08,1858.22,2652.53
artur nogueira,1272.82,1040.45,1354.4,781.43,1490.13,7533.73
aruja,1559.46,1350.16,2355.88,781.69,1703.67,7412.3
aspasia,844.63,844.94,1010.82,465.3,1026.67,1604.49
assis,1381.43,1146,2372.63,726.42,1706.12,3287.75
atibaia,1589.33,1414.13,2810.14,858.2,1868.3,4891.89
auriflama,1046.47,869.33,1585.66,620.68,1526.56,2739.06
avai,924.48,895.25,1778.5,561.1,1024.55,3015.33
avanhandava,1019.57,1020.94,1730.57,551.11,1379.63,2469.25
avare,1216.71,1049.44,2037.39,648.35,1432.29,3796.97
bady bassitt,1173.9,1083.41,1860.21,756.38,1386.19,2637.89
balbinos,602.51,850.66,1793.16,271.4,571.99,951.97
balsamo,1214.4,992.82,2067.35,712.69,1528.36,14233.22
bananal,797.1,869.4,1837.37,486.68,717.23,1797.54
barao de antonina,831.49,742.26,1146.11,368.63,762.75,6095.69
barbosa,939.22,894.09,1403.22,606.21,1408.83,3273.42
bariri,1094.68,1004.2,1615.56,652.63,1354.11,4054.66
barra bonita,1294.23,1171.15,2772.26,643.09,1487.63,4150.16
barra do chapeu,769.63,733.5,1658.17,488.03,696.04,70000
barra do turvo,857.09,981.12,1888.8,596.12,787.84,-
barretos,1310.83,1096.58,2569.66,776.81,1843.26,3950.76
barrinha,1086.54,1130.91,1872.45,621.82,1256.84,3975.01
barueri,1803.25,1579.59,2265.18,897.07,2832.14,7525.43
bastos,951.04,816.73,1308.74,594.21,1028.87,3099.9
batatais,1352.58,1192.7,2029.79,674.86,1774.58,4552.5
bauru,1565.81,1303.06,2754.06,836.75,1688.18,7294.87
bebedouro,1234.41,1064.35,1350.52,804.24,1672.96,3541.19
