city,total,regular,military_and_gov,irregular,entrepreneur,employers
amparo de sao francisco,481.33,642.01,1030.09,440.18,324.41,1200
aquidaba,546.14,766.57,1094.43,381.35,469.63,1199.64
aracaju,1577.2,1377.65,3815.51,709.27,1319.07,5180.18
araua,490.01,692.66,1073.89,338.9,604.88,-
areia branca,558.72,651.71,1128.56,405.75,490.67,3134.23
barra dos coqueiros,885.62,1001.81,1973.7,477.46,665.63,2257.11
boquim,555.98,785.6,1221.99,284.81,524.54,1558.51
brejo grande,349.3,811.41,1176.58,384.55,213.12,1236.31
campo do brito,606.7,776.4,1481.19,402.91,523.26,834.88
canhoba,374.73,570.27,827.55,318.19,233.05,1024.05
caninde de sao francisco,623.61,933.64,1411.29,388.58,506.04,3002.36
capela,753.03,750.44,1175.27,549.1,649.8,5932.69
carira,537.15,677.96,898.61,388.02,501.23,3923.14
carmopolis,936.47,1088.95,962.01,524.62,729.19,6000
cedro de sao joao,631.89,971.01,1263.91,410.88,353.54,3378.21
cristinapolis,483.49,763.99,898.32,326.53,440.55,1437.12
cumbe,545.59,747.45,921.57,334.42,414.12,836.96
divina pastora,622.4,718.56,846.31,521.27,435.51,-
estancia,756.21,814.93,1474.82,463.55,706.03,2046.12
feira nova,515.53,572.68,930.11,346.7,528.83,1602.33
frei paulo,683.47,650.43,1023.59,430.42,992.57,6000
gararu,582.35,1044.97,1139.51,421.47,357.69,3537.66
general maynard,784.86,846.27,848.66,377.28,679.98,2294.07
gracho cardoso,585.33,755.11,1048.9,426.32,412.1,2917.78
ilha das flores,494.99,720.26,1195.14,367.45,391.04,9900
indiaroba,459.6,684.49,1351.37,344.1,313.33,778.11
itabaiana,763.29,867.78,1587.24,500.73,663.58,3325.24
itabaianinha,441.44,661.08,1243.11,320,426.63,1026.24
itabi,464.01,678.04,733.93,309.06,439.54,-
itaporanga d'ajuda,576.47,672.47,859.32,385.76,450.37,2024.9
japaratuba,648.4,786.75,1094.58,448.25,416.77,1516.18
japoata,514.07,691.85,1342.16,392.33,371.09,510
lagarto,608.39,803.17,1496.26,378.93,531.74,2302.52
laranjeiras,734.69,772.45,1196.62,534.47,586.07,1000
macambira,457.42,666.26,1051.35,308.59,588.71,2000
malhada dos bois,571.88,932.14,697.33,461.39,325.39,1020
malhador,459.51,820.31,1017.45,370.66,390.73,777.23
maruim,725.32,847.92,1199.5,459.97,481.6,1283.12
moita bonita,466.96,869.5,1615.25,393.18,406.41,1540.93
monte alegre de sergipe,541,880.77,1097.37,402.22,431.67,926.2
muribeca,585.3,632.51,885.77,443.62,350.36,2537.42
neopolis,693.95,752.61,1412.16,453.72,581.5,1679.72
nossa senhora aparecida,497.87,771.11,1352.61,419.87,378.47,1000
nossa senhora da gloria,613.78,811.35,1133.7,341.63,526.07,2285.32
nossa senhora das dores,592.24,792.16,1336.82,364.63,420.11,2256.43
nossa senhora de lourdes,512.22,808.2,975.07,342.38,441.63,715
nossa senhora do socorro,742.09,728.46,1581.34,491.29,682.87,4547.89
pacatuba,501.51,880.4,1065.67,623.88,207.01,888.37
pedra mole,651.97,641.78,1411.6,379.63,411.38,2104.69
pedrinhas,491.75,902.88,1377.43,341.35,352.46,1526.6
pinhao,585.73,639.48,1070.7,415.96,541.43,2435.57
pirambu,540.61,810.28,1034.43,396.29,344.19,3508.3
poco redondo,487.67,833.13,979.06,327.91,381.1,1804.27
poco verde,443.04,685,1368.13,295.91,380.36,1162.33
porto da folha,498.49,853.11,1073.6,324.03,375.48,392.36
propria,753.26,879.42,1393.8,419.64,629.7,3095.15
riachao do dantas,395.91,810.78,1628.84,298.94,300.21,-
riachuelo,686.89,702.14,1022.12,545.98,611.87,2550
ribeiropolis,558.98,747.63,1294.72,384.26,445.66,1840.38
rosario do catete,779.9,856.99,1071.62,607.89,563.74,1294.98
salgado,502.71,767.27,924.66,325.91,381,1832.1
santa luzia do itanhy,413.05,582.78,660.8,331.85,379.37,202.07
santa rosa de lima,479.07,617.4,-,329.72,357.28,152.69
santana do sao francisco,476.27,647.66,846.89,305.14,306.6,10000
santo amaro das brotas,886.33,1129.84,1577.02,382.21,411.02,4186.41
sao cristovao,737.87,755.42,1579.9,454.12,641.58,1819.16
sao domingos,427.2,672.29,1236.89,330.83,306.57,1007.17
sao francisco,553.84,682.62,945.24,362.53,428.01,6500
sao miguel do aleixo,516.32,731.54,1045.15,370.89,409.7,2000
simao dias,556.16,677.47,1161.96,366.97,473.25,3486.04
siriri,649.34,667.07,913.97,478.98,665.74,580
telha,557.85,828.25,1097.39,404.92,351.64,500
tobias barreto,568.65,750.89,1397.18,307.33,535.02,2598.3
tomar do geru,367.72,631.93,923.61,280.35,261.5,1781.04
umbauba,471,710.81,1280.25,331.31,417.59,1139.2
