city,total,main_regular,main_irregular,other_regular,other_irregular
abreulandia,1064.5916809,329.88250422,734.70917668,329.88250422,734.70917668
aguiarnopolis,1958.63107568,1085.14924674,873.48182894,1088.18216861,870.44890707
alianca do tocantins,1997.2078629,954.43340295,1042.77445995,954.43340295,1042.77445995
almas,2735.41442362,1101.1818467,1634.23257692,1101.1818467,1634.23257692
alvorada,4023.33067232,2065.84406256,1957.48660976,2069.2971258,1954.03354652
ananas,3705.60916127,1618.06022066,2087.54894061,1618.06022066,2087.54894061
angico,1186.43327517,491.58858853,694.84468664,491.58858853,694.84468664
aparecida do rio negro,1568.40201027,532.88496531,1035.51704496,539.34211509,1029.05989519
aragominas,2648.50052332,598.08067603,2050.41984729,603.98112092,2044.5194024
araguacema,2552.30029045,799.65772503,1752.64256542,813.42682162,1738.87346883
araguacu,3578.19162972,1547.48268458,2030.70894514,1547.48268458,2030.70894514
araguaina,68937.88614995,38919.06309011,30018.82305984,38980.30949395,29957.57665597
araguana,2057.17818583,853.91297846,1203.26520737,853.91297846,1203.26520737
araguatins,10897.67696137,3647.52029045,7250.15667092,3647.52029045,7250.15667092
arapoema,2802.51189395,1158.76777268,1643.74412127,1162.03775755,1640.4741364
arraias,3828.5951163,1683.24628881,2145.34882749,1687.6956005,2140.8995158
augustinopolis,6294.83930467,2097.50025308,4197.33905159,2103.3559791,4191.48332557
aurora do tocantins,1393.54525062,421.0138194,972.53143122,421.0138194,972.53143122
axixa do tocantins,3353.89072494,1118.63630529,2235.25441965,1123.60118353,2230.28954141
babaculandia,3930.33481095,1297.41836188,2632.91644907,1297.41836188,2632.91644907
bandeirantes do tocantins,845.45955464,384.40207743,461.05747721,384.40207743,461.05747721
barra do ouro,1266.42421097,491.11701048,775.30720049,491.11701048,775.30720049
barrolandia,1916.82587434,810.22372883,1106.60214551,817.82423532,1099.00163902
bernardo sayao,1776.3933131,641.41809952,1134.97521358,641.41809952,1134.97521358
bom jesus do tocantins,1637.28313382,580.43701586,1056.84611796,580.43701586,1056.84611796
brasilandia do tocantins,785.44467443,357.37758293,428.0670915,357.37758293,428.0670915
brejinho de nazare,1946.74985651,863.19190717,1083.55794934,863.19190717,1083.55794934
buriti do tocantins,2893.16679614,1029.51573993,1863.65105621,1029.51573993,1863.65105621
cachoeirinha,785.72832763,271.28980451,514.43852312,271.28980451,514.43852312
campos lindos,2373.0214404,735.81972074,1637.20171966,740.64899751,1632.37244289
cariri do tocantins,1543.58944048,640.14723941,903.44220107,645.72349214,897.86594833
carmolandia,853.28180954,481.66039583,371.62141371,481.66039583,371.62141371
carrasco bonito,1214.48403379,352.40357722,862.08045657,352.40357722,862.08045657
caseara,1842.14306749,669.17732586,1172.96574163,669.17732586,1172.96574163
centenario,669.22393641,238.5876517,430.63628471,238.5876517,430.63628471
chapada da natividade,929.99093976,410.44487993,519.54605983,410.44487993,519.54605983
chapada de areia,588.28475027,207.67545742,380.60929285,207.67545742,380.60929285
colinas do tocantins,13466.5554835,6073.37634491,7393.17913859,6093.84047489,7372.71500861
colmeia,3707.35121808,1275.33288079,2432.01833729,1275.33288079,2432.01833729
combinado,1943.69886914,653.51801467,1290.18085447,653.51801467,1290.18085447
conceicao do tocantins,1528.56060946,385.21030212,1143.35030734,385.21030212,1143.35030734
couto magalhaes,1807.52454781,477.31176298,1330.21278483,489.33182547,1318.19272233
cristalandia,2740.78339314,1092.55194103,1648.23145211,1095.52540881,1645.25798433
crixas do tocantins,594.91522821,287.41398169,307.50124652,290.28340876,304.63181945
darcinopolis,1953.55150756,598.52724109,1355.02426647,598.52724109,1355.02426647
dianopolis,7968.43041699,4226.70477131,3741.72564568,4226.70477131,3741.72564568
divinopolis do tocantins,2559.99735868,891.22330891,1668.77404977,896.56728078,1663.4300779
dois irmaos do tocantins,2400.02520343,499.0178201,1901.00738333,499.0178201,1901.00738333
duere,1840.23513471,807.09072421,1033.1444105,807.09072421,1033.1444105
esperantina,2194.92051785,509.30382972,1685.61668813,509.30382972,1685.61668813
fatima,1381.32262103,689.1225973,692.20002373,689.1225973,692.20002373
figueiropolis,2495.7946337,1101.1939949,1394.6006388,1101.1939949,1394.6006388
filadelfia,2729.39744338,1112.36405523,1617.03338815,1116.1434135,1613.25402988
formoso do araguaia,7358.03566613,3191.98271497,4166.05295116,3197.16423156,4160.87143457
fortaleza do tabocao,925.92538222,514.83635254,411.08902968,514.83635254,411.08902968
goianorte,2005.48857899,464.80439529,1540.6841837,464.80439529,1540.6841837
goiatins,3825.68597819,995.70902308,2829.97695511,995.70902308,2829.97695511
guarai,11224.09571056,5397.66679953,5826.42891103,5425.66511466,5798.4305959
gurupi,38173.85431811,22444.98104512,15728.87327299,22485.40541125,15688.44890685
ipueiras,587.84430006,298.75262942,289.09167064,298.75262942,289.09167064
itacaja,2159.43820105,710.28622177,1449.15197928,710.28622177,1449.15197928
itaguatins,1663.14937975,506.44290475,1156.706475,506.44290475,1156.706475
